Code,Score
S11610102101146,1122
S11610102101147,1158
S11610102101148,1161
S11610102101149,1149
S11610102101150,1115
S11610102101151,1140
S11610102101152,1141
S11610102101201,1103
S11610102101202,1160
S11610102101203,1136
S11610102101204,1168
S11610102101205,1128
S11610102101206,1131
S11610102101207,1065
S11610102101208,1044
S11610102101209,1129
S11610102101210,1104
S11610102101211,1137
S11610102101212,1117
S11610102101213,1126
S11610102101214,1126
S11610102101215,1099
S11610102101216,1119
S11610102101217,NA
S11610102101218,1080
S11610102101219,1024
S11610102101220,1066
S11610102101221,1113
S11610102101222,1116
S11610102101223,1089
S11610102101224,1131
S11610102101227,1149
S11610102101228,1060
S11610102101229,970
S11610102101230,808
S11610102101231,1122
S11610102101232,1143
S11610103101301,835
S11610103101302,928
S11610103101303,917
S11610103101304,945
S11610103101305,1056
S11610103101306,1050
S11610103101307,983
S11610103101308,986
S11610103101401,943
S11610103101402,939
S11610103101403,926
S11610103101404,884
S11610103101405,902
S11610103101406,984
S11610103101407,1027
S11610103101408,999
S11610103101409,1037
S11610103101410,907
S11610103101411,943
S11610103101412,970
S11610103101413,889
S11610103101414,1032
S11610103101415,975
S11610103101417,NA
S11610103101418,1055
S11610103101419,991
S11610103101503,900
S11610103101505,1078
S11610103101511,911
S11610103101512,1039
S11610103101514,1047
S11610103101515,1046
S11610103101516,1060
S11610103101517,1023
S11610103101518,1063
S11610103101519,1053
S11610103101520,1050
S11610103101521,1023
S11610103101522,1038
S11610103101523,1082
S11610103101524,1048
S11610103101602,936
S11610103101603,1018
S11610103101604,1079
S11610103101605,1048
S11610103101606,1081
S11610103101607,984
S11610103101608,1089
S11610103101609,1083
S11610103101610,1058
S11610103101611,1091
S11610103101613,1085
S11610103101614,1054
S11610103101615,1095
S11610103101616,1018
S11610103101617,1057
S11610103101618,1108
S11610103101619,1011
S11610103101620,1007
S11610104101701,847
S11610104101702,916
S11610104101703,976
S11610104101704,838
S11610104101705,689
S11610104101706,816
S11610104101708,1020
S11610104101709,1041
S11610104101710,1074
S11610104101711,1009
S11610104101712,935
S11610104101713,949
S11610104101716,908
S11610104101717,930
S11610104101718,838
S11610104101719,966
S11610104101720,1016
S11610104101721,887
S11610104101722,945
S11610104101801,1038
S11610104101802,1059
S11610104101803,1030
S11610104101804,1071
S11610104101805,1090
S11610104101806,878
S11610104101807,940
S11610104101808,886
S11610104101809,949
S11610104101810,914
S11610104101811,966
S11610104101812,923
S11610104101813,1063
S11610104101814,1001
S11610104101815,1007
S11610104101816,1011
S11610104101817,1039
S11610104101818,979
S11610104101819,984
S11610104101820,827
S11610104101821,993
S11610104101822,938
S11610104101823,809
S11610104101901,846
S11610104101902,864
S11610104101903,812
S11610104101904,893
S11610104101905,814
S11610104101906,963
S11610104101907,934
S11610104101909,882
S11610104101911,1033
S11610104101912,1040
S11610104101913,1044
S11610104101914,1047
S11610104101915,1081
S11610104101916,1048
S11610104101917,1044
S11610104101918,1050
S11610104101919,1017
S11610104101920,946
S11610104101921,1059
S11610104101922,974
S11610104101923,943
S11610104102001,1023
S11610104102002,1033
S11610104102003,943
S11610104102004,933
S11610104102005,942
S11610104102006,845
S11610104102007,1036
S11610104102008,1007
S11610104102011,1022
S11610104102013,935
S11610104102014,990
S11610104102015,975
S11610104102016,1002
S11610104102017,1043
S11610104102018,980
S11610104102019,1027
S11610104102020,999
S11610104102022,930
S11610104102023,1029
S11610104102024,951
S11610104102025,956
S11610104102026,978
S11610104102027,1021
S11610104102028,1025
S11610104102029,996
S11610104102030,868
S11610104102031,1043
S11610104102032,974
S11610104102101,1031
S11610104102102,997
S11610104102104,1032
S11610104102105,1040
S11610104102106,966
S11610104102107,1046
S11610104102108,1031
S11610104102109,1028
S11610104102201,NA
S11610104102301,891
S11610104102302,1016
S11610104102303,1042
S11610104102304,949
S11610104102305,932
S11610104102306,879
S11610104102307,819
S11610104102308,752
S11610104102309,969
S11610104102401,970
S11610104102402,954
S11610104102403,878
S11610104102404,975
S11610104102405,1000
S11610104102406,992
S11610104102407,1011
S11610104102408,850
S11610104102409,1029
S11610104102410,947
S11610104102411,986
S11610104102412,1059
S11610104102502,990
S11610104102503,925
