"S01009864","0","0","0","0","0","0","0","0","0","0","0","0","179","130","227","239","243","219","191","131","140","127","124","77","53","27","43","27","15","17","22","30","43","2"
"S01009865","0","0","0","0","0","0","0","0","0","0","0","0","79","65","77","98","98","95","94","84","98","75","63","50","28","22","14","28","20","25","28","17","18","1"
"S01009866","0","0","0","0","0","0","0","0","0","0","0","0","40","34","48","43","30","45","31","37","45","53","30","65","28","25","20","35","17","25","22","10","12","7"
"S01009867","0","0","0","0","0","0","0","0","0","0","0","0","87","115","113","140","115","187","169","107","161","111","121","100","80","98","83","106","79","59","67","65","84","23"
"S01009868","0","0","0","0","0","0","0","0","0","0","0","0","27","46","35","41","38","55","30","24","24","37","58","26","22","21","20","39","45","13","26","20","20","3"
"S01009869","0","0","0","0","0","0","0","0","0","0","0","0","35","34","34","51","47","47","28","40","43","26","18","25","25","15","21","25","14","18","16","22","17","5"
"S01009870","0","0","0","0","0","0","0","0","0","0","0","0","57","140","100","86","105","93","65","81","52","50","55","53","55","65","39","35","44","36","32","29","39","10"
"S01009871","0","0","0","0","0","0","0","0","0","0","0","0","78","108","114","102","101","80","86","89","83","96","60","54","53","48","53","71","58","40","30","39","34","13"
"S01009872","0","0","0","0","0","0","0","0","0","0","0","0","58","48","86","81","105","67","64","55","48","44","32","61","38","31","34","45","33","23","34","32","30","5"
"S01009873","0","0","0","0","0","0","0","0","0","0","0","0","123","108","213","245","207","148","203","156","179","150","132","104","69","76","90","106","82","67","75","80","65","18"
"S01009874","0","0","0","0","0","0","0","0","0","0","0","0","51","63","49","45","47","48","51","33","35","38","11","40","18","20","34","26","22","25","35","47","18","8"
"S01009875","0","0","0","0","0","0","0","0","0","0","0","0","49","51","49","93","96","31","47","28","33","37","31","33","40","27","29","30","25","18","36","34","22","3"
"S01009876","0","0","0","0","0","0","0","0","0","0","0","0","46","37","44","68","64","41","34","22","30","28","25","25","28","68","64","85","43","31","16","10","9","2"
"S01009877","0","0","0","0","0","0","0","0","0","0","0","0","76","94","82","67","67","61","51","43","40","58","18","15","24","34","38","28","13","11","21","12","15","2"
