Scotland,p2011
S00089868,60
S00089869,159
S00089870,127
S00089871,126
S00089872,147
S00089873,180
S00089874,130
S00089875,133
S00089876,109
S00089877,106
S00089878,93
S00089879,131
S00089880,151
S00089881,170
S00089882,113
S00089883,91
S00089884,111
S00089885,120
S00089886,98
S00089887,100
S00089888,75
S00089889,58
S00089890,111
S00089891,236
S00089892,130
S00089893,128
S00089894,148
S00089895,82
S00089896,81
S00089897,109
S00089898,129
S00089899,116
S00089900,101
S00089901,93
S00089902,157
S00089903,136
S00089904,99
S00089905,104
S00089906,93
S00089907,109
S00089908,116
S00089909,57
S00089910,116
S00089911,159
S00089912,112
S00089913,85
S00089914,83
S00089915,96
S00089916,113
S00089917,110
S00089918,98
S00089919,100
S00089920,126
S00089921,94
S00089922,87
S00089923,99
S00089924,85
S00089925,93
S00089926,120
S00089927,98
S00089928,142
S00089929,132
S00089930,81
S00089931,101
S00089932,114
S00089933,86
S00089934,93
S00089935,128
S00089936,69
S00089937,82
S00089938,114
S00089939,136
S00089940,104
S00089941,116
S00089942,65
S00089943,97
S00089944,58
S00089945,170
S00089946,113
S00089947,101
S00089948,145
S00089949,115
S00089950,108
S00089951,97
S00089952,125
S00089953,64
S00089954,132
S00089955,173
S00089956,55
S00089957,107
S00089958,102
S00089959,114
S00089960,86
S00089961,84
S00089962,73
S00089963,91
S00089964,87
S00089965,162
S00089966,165
S00089967,115
S00089968,92
S00089969,97
S00089970,93
S00089971,171
S00089972,110
S00089973,108
S00089974,100
S00089975,121
S00089976,107
S00089977,103
S00089978,131
S00089979,104
S00089980,104
S00089981,56
S00089982,94
S00089983,79
S00089984,104
S00089985,114
S00089986,80
S00089987,88
S00089988,113
S00089989,106
S00089990,91
S00089991,105
S00089992,135
S00089993,107
S00089994,107
S00089995,98
S00089996,58
S00089997,136
S00089998,155
S00089999,110
S00090000,105
S00090001,85
S00090002,161
S00090003,130
S00090004,83
S00090005,56
S00090006,99
S00090007,204
S00090008,79
S00090009,108
S00090010,103
S00090011,115
S00090012,138
S00090013,106
S00090014,136
S00090015,106
S00090016,100
S00090017,128
S00090018,136
S00090019,54
S00090020,53
S00090021,117
S00090022,114
S00090023,73
S00090024,137
S00090025,158
S00090026,69
S00090027,145
S00090028,141
S00090029,117
S00090030,102
S00090031,184
S00090032,122
S00090033,161
S00090034,128
S00090035,93
S00090036,156
S00090037,126
S00090038,105
S00090039,141
S00090040,171
S00090041,69
S00090042,118
S00090043,143
S00090044,155
S00090045,201
S00090046,54
S00090047,102
S00090048,130
S00090049,157
S00090050,110
S00090051,151
S00090052,131
S00090053,121
S00090054,188
S00090055,175
S00090056,99
S00090057,104
S00090058,56
S00090059,149
S00090060,119
S00090061,125
S00090062,84
S00090063,106
S00090064,171
S00090065,62
S00090066,81
S00090067,101
S00090068,108
S00090069,154
S00090070,214
S00090071,117
S00090072,130
S00090073,130
S00090074,121
S00090075,133
S00090076,142
S00090077,114
S00090078,155
S00090079,142
S00090080,100
S00090081,118
S00090082,80
