code,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016
S00113214,123,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA
S00116397,112,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
S00115160,106.2243,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00113300,105,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00113957,104,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA
S00114684,179,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA
S00114691,195,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA
S00116314,110,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
S00117425,139,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA
S00115616,139,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA
S00115615,92,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
S00117189,113,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA
S00114122,75,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00114918,109,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
S00116214,64,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA
S00115113,100,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00115412,58,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA
S00114605,71.831326,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA
S00116054,131.967391,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA
S00115919,141.375,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA
S00115918,102.8004,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA
S00115134,153.8639,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA
S00112152,51.8043,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA
S00112151,32.817206,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA
S00112153,61.807213,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA
S00113598,114.6138,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA
S00116187,26.331473,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA
S00116182,17.961825,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA
S00116183,12.977655,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA
S00116188,12.413408,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA
S00116185,50.821161,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA
S00116186,13.392034,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA
S00116184,73.1203,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA
S00113966,133,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA
S00112158,18.571429,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,NA,NA
S00112155,68.68467,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA
S00112157,13.567728,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA
S00112156,13.086602,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA
S00112159,11.063,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA
S00115414,64,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA
S00116287,70,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
S00117272,149,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00117270,81,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA
S00114365,78,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00113662,74,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA
S00115933,52,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00112907,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
S00113706,88,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA
S00113705,98,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA
