code,p2001
60QA000602,67
60QA000603,64
60QA000604,58
60QA000605,52
60QA000606,82
60QA000607,78
60QA000608,72
60QA000609,69
60QA000610,58
60QA000611,191
60QA000612,139
60QA000613,118
60QA000614,179
60QA000615,85
60QA000616,93
60QA000617,76
60QA000618,67
60QA000619,157
60QA000620,106
60QA000621,109
60QA000622,82
60QA000623,100
60QA000624,88
60QA000625,63
60QA000626,68
60QA000627,97
60QA000628,109
60QA000629,194
60QA000630,189
60QA000631,58
60QA000632,92
60QA000633,112
60QA000634,180
60QA000635,87
60QA000636,221
60QA000637,160
60QA000638,138
60QA000639,141
60QA000640,89
60QA000641,120
60QA000642,70
60QA000643,57
60QA000644,118
60QA000645,144
60QA000646,148
60QA000647,127
60QA000648,99
60QA000649,98
60QA000650,101
60QA000651,126
60QA000652,456
60QA000653,126
60QA000654,72
60QA000655,89
60QA000656,127
60QA000657,81
60QA000658,123
60QA000659,178
60QA000660,146
60QA000661,107
60QA000662,101
60QA000663,117
60QA000664,71
60QA000665,100
60QA000666,65
60QA000667,102
60QA000668,91
60QA000669,102
60QA000670,79
60QA000671,118
60QA000672,129
60QA000673,75
60QA000674,62
60QA000675,63
60QA000676,55
60QA000677,86
60QA000678,103
60QA000679,130
60QA000680,52
60QA000681,74
60QA000682,64
60QA000683,114
60QA000684,67
60QA000685,57
60QA000686,90
60QA000687,77
60QA000688,165
60QA000689,123
60QA000690,69
60QA000691,74
60QA000692,298
60QA000693,113
60QA000694,90
60QA000695,125
60QA000696,97
60QA000697,64
60QA000698,145
60QA000699,103
60QA000700,112
60QA000701,129
60QA000702,116
60QA000703,67
60QA000704,114
60QA000705,136
60QA000706,133
60QA000707,117
60QA000708,131
60QA000709,160
60QA000710,106
60QA000711,133
60QA000712,101
60QA000713,169
60QA000714,189
60QA000715,182
60QA000716,175
60QA000717,101
60QA000718,93
60QA000719,94
60QA000720,118
60QA000721,103
60QA000722,103
60QA000723,166
60QA000724,80
60QA000725,131
60QA000726,169
60QA000727,95
60QA000728,92
60QA000729,67
60QA000730,87
60QA000731,104
60QA000732,154
60QA000733,152
60QA000734,146
60QA000735,161
60QA000736,102
60QA000737,156
60QA000738,177
60QA000739,104
60QA000740,108
60QA000741,126
60QA000742,103
60QA000743,109
60QA000744,137
60QA000745,116
60QA000746,77
60QA000747,69
60QA000748,97
60QA000749,106
60QA000750,194
60QA000751,87
60QA000752,68
60QA000753,103
60QA000754,113
60QA000755,129
60QA000756,152
60QA000757,86
60QA000758,75
60QA000759,67
60QA000760,50
60QA000761,108
60QA000762,81
60QA000763,90
60QA000764,117
60QA000765,66
60QA000766,80
60QA000767,97
60QA000768,75
60QA000769,136
60QA000770,56
60QA000771,62
60QA000772,84
60QA000773,89
60QA000774,78
60QA000775,83
60QA000776,144
60QA000777,108
60QA000778,81
60QA000779,73
60QA000780,105
60QA000781,257
60QA000782,59
60QA000783,60
60QA000784,143
60QA000785,120
60QA000786,111
60QA000787,107
60QA000788,91
60QA000789,156
60QA000790,119
60QA000791,89
60QA000792,172
60QA000793,74
60QA000794,144
60QA000795,87
60QA000796,118
60QA000797,100
60QA000798,94
60QA000799,115
60QA000800,76
60QA000801,99
60QA000802,113
60QA000803,142
60QA000804,75
60QA000805,102
60QA000806,121
60QA000807,140
