"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01008944",80,112,112,105,57,81,106,69,51,64,68
"E01008945",179,207,137,129,119,91,118,110,112,177,189
"E01008946",64,74,68,72,46,68,41,48,44,56,80
"E01008947",88,94,73,82,70,80,46,44,39,58,52
"E01008948",118,151,158,142,163,189,178,194,172,180,168
"E01008949",46,58,54,59,46,43,43,27,30,52,30
"E01008950",74,53,79,79,63,94,58,61,67,63,48
"E01008951",122,85,124,90,66,59,76,96,100,57,68
"E01008952",328,314,307,237,226,203,201,122,144,151,128
"E01008953",95,101,118,123,98,114,100,64,63,71,57
"E01008954",55,66,86,92,65,73,48,38,68,64,36
"E01008955",142,138,131,140,124,118,104,71,88,61,83
"E01008956",101,91,133,93,97,70,79,62,57,78,67
"E01008957",158,89,150,146,105,140,117,66,75,104,75
"E01008958",59,88,76,58,47,62,50,37,58,42,46
"E01008959",81,78,71,55,72,77,66,73,51,42,40
"E01008960",112,101,92,72,92,103,81,48,74,82,47
"E01008961",232,187,218,228,249,212,148,111,136,139,197
"E01008962",210,148,137,128,131,106,123,123,92,92,60
"E01008963",70,76,84,75,78,59,68,67,60,48,69
"E01008964",46,44,45,64,38,57,38,36,40,32,50
"E01008965",67,71,48,58,44,48,53,94,35,44,51
"E01008966",99,93,106,91,93,74,92,90,105,110,66
"E01008967",57,39,54,37,37,40,35,32,24,39,37
"E01008968",76,79,77,53,44,43,40,47,45,40,48
"E01008969",97,95,93,76,70,87,44,61,50,53,69
"E01008970",51,59,74,68,29,47,32,44,39,40,43
"E01008971",137,138,112,76,94,116,84,89,65,89,101
"E01008972",69,88,64,82,75,82,80,83,90,63,46
"E01008973",64,60,68,49,76,43,62,54,41,39,54
"E01008974",82,90,69,52,38,60,54,77,61,86,65
"E01008975",102,95,119,80,80,87,83,60,69,54,58
"E01008976",90,116,115,125,99,99,73,70,68,75,82
"E01008977",118,130,110,108,79,78,83,77,78,67,44
"E01008978",153,180,174,133,114,107,126,93,103,131,144
"E01008979",94,147,122,116,81,86,72,98,76,97,88
"E01008980",150,151,167,143,104,108,105,98,120,105,88
"E01008981",230,288,239,207,229,193,173,141,156,165,155
"E01008982",145,85,96,86,123,89,52,68,55,69,112
"E01008984",128,71,71,82,106,100,76,70,69,68,82
"E01008986",131,90,96,67,104,44,64,42,44,54,78
"E01008987",155,104,85,89,81,101,89,107,73,85,87
"E01008988",333,215,211,184,218,167,153,191,116,106,135
"E01008989",188,175,177,128,119,122,90,97,73,111,115
"E01008990",293,213,181,196,170,134,140,119,78,96,126
"E01008991",173,128,170,91,107,109,63,100,68,84,72
"E01008992",148,120,145,96,105,85,105,75,61,61,72
"E01008994",337,203,168,193,152,141,95,132,82,115,113
"E01008995",176,106,117,99,103,77,80,108,93,85,70
"E01008997",161,124,128,113,105,87,92,102,53,63,83
"E01008998",196,194,174,137,136,129,115,126,109,103,90
"E01008999",121,104,105,60,90,68,76,89,60,82,70
"E01009000",159,104,172,111,111,125,123,104,127,113,121
"E01009001",85,81,114,98,82,80,43,63,33,63,40
"E01009002",162,114,147,136,145,122,59,88,60,70,53
"E01009003",305,259,225,188,156,172,75,110,147,140,105
"E01009005",111,87,88,72,67,84,88,54,59,42,40
"E01009006",153,140,144,158,86,76,76,69,71,64,73
"E01009007",987,756,843,665,707,632,582,372,389,462,379
"E01009008",67,71,75,76,54,56,45,44,45,41,45
"E01009009",92,69,83,56,84,55,56,50,30,31,25
"E01009011",135,130,127,110,117,84,70,72,63,95,72
"E01009012",85,79,78,60,59,53,59,48,48,43,34
"E01009013",313,248,292,242,256,187,168,105,160,194,142
"E01009014",137,108,116,94,79,63,66,58,81,89,57
"E01009015",355,290,330,230,297,248,188,194,145,165,163
"E01009016",154,95,109,79,66,109,58,101,71,88,64
"E01009017",56,41,42,41,32,44,45,27,26,43,28
"E01009018",307,395,353,164,174,265,209,154,151,177,124
"E01009019",88,85,90,73,59,96,63,91,66,56,63
"E01009020",74,69,65,56,61,81,61,78,47,40,46
"E01009021",62,64,106,55,63,82,60,86,49,56,62
"E01009022",109,121,135,82,115,148,109,100,68,81,63
"E01009023",75,62,44,46,49,76,58,57,50,47,39
"E01009024",88,96,94,101,107,171,100,94,58,41,46
"E01009025",55,63,66,63,58,95,68,84,80,65,52
"E01009026",128,109,141,95,93,82,67,67,51,74,62
"E01009028",114,120,102,100,78,74,38,46,59,59,39
"E01009029",116,108,114,90,84,97,64,64,52,38,29
"E01009030",86,94,90,62,76,79,41,49,40,56,23
"E01009031",85,82,66,61,64,69,57,27,55,67,37
"E01009032",79,97,89,76,79,91,65,45,46,41,46
"E01009033",122,93,98,92,92,88,68,57,50,46,58
"E01009034",43,62,47,44,27,44,46,62,40,49,20
"E01009035",103,128,119,67,118,106,74,75,60,74,53
"E01009036",117,119,82,62,74,85,69,67,60,60,55
"E01009037",119,102,100,62,67,77,62,58,54,85,60
"E01009039",47,28,25,28,39,33,27,38,25,39,23
"E01009040",67,44,68,36,56,41,49,38,46,34,38
"E01009041",65,55,53,44,59,69,48,46,48,36,28
