"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00047408","0","1","6","4","6","13","6","23","14","25","9","0","11","3","17","0","0"
"E00047452","0","4","17","41","18","13","24","8","54","9","0","3","0","9","14","10","0"
"E00175776","0","15","21","8","6","30","13","18","10","12","7","0","14","1","12","23","1"
"E00047789","0","0","3","9","3","13","0","12","7","0","6","0","3","6","6","17","3"
"E00046290","0","3","18","3","24","21","15","20","22","33","16","0","12","6","9","6","1"
"E00046347","0","0","17","17","29","12","14","6","7","14","9","25","3","0","0","0","0"
"E00047376","0","0","17","20","18","21","12","31","28","12","9","17","0","12","4","12","0"
"E00175629","0","119","270","271","233","381","323","273","202","117","134","149","139","107","144","192","59"
"E00045194","0","4","28","25","24","45","16","41","31","12","3","6","3","23","12","34","0"
"E00175616","0","0","3","3","3","0","3","3","16","3","22","6","0","0","0","0","0"
"E00047637","0","3","13","25","25","45","25","35","42","35","15","63","23","11","10","53","6"
"E00046657","0","9","31","42","30","16","26","27","20","38","27","9","38","3","3","33","0"
"E00046600","0","32","45","65","52","77","73","45","31","43","6","6","21","51","34","26","42"
"E00047303","0","0","3","9","6","35","7","6","3","15","0","6","0","3","6","11","0"
"E00045925","0","10","9","20","37","48","18","8","29","34","9","15","4","6","9","29","0"
"E00046676","0","3","6","10","45","18","12","13","17","16","17","1","3","14","6","3","0"
"E00045990","0","0","10","0","3","0","0","3","3","4","0","0","0","0","6","3","0"
"E00046847","0","0","8","13","7","9","7","3","3","16","3","3","3","3","0","0","0"
"E00047068","0","21","29","21","38","27","31","22","18","32","15","2","3","15","10","19","0"
"E00046362","0","3","3","6","6","9","1","6","0","10","9","9","0","0","0","3","0"
"E00046010","0","3","6","6","27","12","12","0","1","26","12","14","3","3","10","3","0"
"E00047922","0","37","20","44","58","59","26","10","11","10","11","6","3","8","12","9","6"
"E00046495","0","3","49","22","22","4","16","49","27","37","13","19","3","10","0","29","0"
"E00046226","0","25","46","30","47","24","9","13","12","43","21","26","40","12","21","30","0"
"E00045750","0","12","33","34","45","22","32","3","10","23","12","17","12","6","6","6","6"
"E00047611","0","1","12","3","3","3","9","1","3","7","2","2","3","3","3","12","5"
"E00047477","0","8","35","38","42","38","40","9","13","25","9","8","17","62","37","92","14"
"E00046923","0","3","3","12","10","4","3","3","14","9","5","0","6","0","6","6","0"
"E00047463","0","20","38","34","41","46","40","64","19","52","67","15","53","9","26","37","9"
"E00045158","0","0","6","10","9","14","12","3","0","4","7","0","0","3","0","5","3"
"E00047624","0","15","16","9","6","6","6","12","3","3","1","3","9","26","6","9","0"
"E00047610","0","1","0","3","11","6","0","13","3","3","9","0","1","6","3","0","0"
"E00046258","0","3","6","6","12","10","10","3","3","0","4","0","0","0","0","0","0"
"E00048053","0","9","4","3","15","13","9","11","7","18","7","0","8","11","0","9","3"
"E00047607","0","5","20","22","55","27","30","22","34","23","35","16","32","55","15","20","6"
"E00045703","0","0","0","0","6","3","3","0","3","0","8","0","0","12","0","0","0"
"E00045098","0","0","5","0","3","6","10","3","3","6","2","12","3","11","23","3","0"
"E00047273","0","0","3","9","3","14","0","0","9","11","12","27","9","0","31","11","3"
"E00046576","0","11","33","36","48","52","24","12","6","4","13","9","3","3","0","0","3"
"E00045740","0","3","10","3","12","33","9","12","6","12","4","9","13","9","6","13","0"
"E00045635","0","3","3","15","3","3","1","28","3","3","4","0","9","6","9","0","0"
"E00046271","0","9","18","23","21","12","9","18","18","18","16","8","9","0","34","23","3"
"E00047373","0","11","27","45","22","45","6","18","0","8","13","20","12","10","15","30","3"
"E00047989","0","1","12","9","9","27","19","18","15","8","1","7","14","21","32","16","0"
"E00046822","0","0","0","21","3","3","22","3","13","15","6","10","0","5","9","3","0"
"E00047043","0","6","15","9","20","13","12","25","14","32","21","29","7","43","3","15","3"
"E00047413","0","6","16","17","17","24","9","25","10","13","1","21","19","21","13","16","0"
"E00045533","0","21","24","24","42","24","21","22","3","6","9","10","39","1","6","3","0"
"E00045605","0","6","6","6","0","6","3","10","0","6","9","14","3","0","0","0","0"
"E00046882","0","1","12","21","12","6","12","6","0","12","12","7","6","6","4","6","0"
"E00047357","0","64","41","54","61","53","54","85","38","51","52","32","6","12","28","20","34"
"E00046047","0","0","0","0","0","0","0","0","0","3","5","1","0","0","0","0","0"
"E00047355","0","45","117","100","61","165","111","166","86","62","52","55","63","87","74","78","12"
"E00047086","0","0","3","6","3","6","9","6","9","11","3","8","3","6","4","5","0"
"E00047397","0","8","37","43","64","109","70","39","42","49","116","111","36","53","55","81","30"
"E00047464","0","6","6","15","19","19","19","12","26","26","26","21","3","6","0","9","3"
"E00045662","0","7","27","10","9","9","28","6","3","3","6","3","6","12","6","9","0"
"E00046418","0","100","103","85","49","62","29","20","46","67","48","51","43","34","39","36","0"
"E00047013","0","0","0","3","3","3","3","3","3","9","3","0","5","0","6","25","0"
"E00045518","0","3","9","42","10","18","3","37","6","18","0","14","5","6","13","23","3"
"E00046593","0","0","6","10","5","3","3","6","1","6","6","0","4","6","6","3","0"
"E00045696","0","3","12","12","34","24","27","12","23","6","23","12","16","6","38","24","3"
"E00047654","0","0","9","3","3","0","3","6","3","3","0","3","7","3","3","1","0"
"E00047315","0","33","70","43","35","77","43","79","87","58","32","14","58","10","37","38","15"
"E00045241","0","33","71","29","9","48","21","36","6","39","49","23","20","18","10","15","6"
"E00047304","0","9","19","29","18","32","17","13","3","12","6","6","4","17","9","12","0"
"E00047403","0","6","32","39","26","19","9","23","13","20","6","24","13","17","7","12","0"
"E00048080","0","27","21","31","60","61","48","31","28","40","29","25","25","15","15","36","3"
"E00046492","0","6","27","3","12","5","6","12","14","7","3","7","1","22","3","11","0"
"E00045295","0","4","12","14","12","29","29","24","25","21","15","18","21","28","6","15","12"
"E00045639","0","0","20","3","6","30","3","12","7","3","9","17","22","12","6","3","3"
"E00048036","0","5","9","24","12","12","15","15","27","9","12","15","4","12","0","20","3"
"E00045706","0","6","13","10","30","26","20","21","26","12","18","20","5","10","20","6","0"
"E00047640","0","3","3","9","23","29","9","0","25","6","30","9","2","6","21","0","3"
"E00175681","0","268","625","730","803","872","657","668","678","480","460","333","323","236","246","360","71"
"E00045243","0","17","15","21","48","45","12","35","26","18","37","3","16","1","11","6","0"
"E00045584","0","6","9","18","12","43","10","0","10","20","37","28","23","7","28","6","3"
"E00046540","0","0","0","6","9","0","0","0","4","11","8","3","11","1","9","8","0"
"E00045759","0","3","9","3","3","6","3","6","3","6","7","0","0","18","10","3","0"
"E00047290","0","26","38","85","102","61","69","78","85","40","52","21","25","19","15","29","0"
"E00048179","0","0","30","69","49","53","53","51","33","39","12","6","17","7","32","3","6"
"E00045403","0","0","12","3","3","3","3","0","0","0","0","3","3","5","0","0","0"
"E00048044","0","10","16","11","18","18","24","3","17","3","0","0","3","1","0","11","3"
"E00045115","0","1","9","9","6","9","9","21","25","9","6","22","24","12","29","32","0"
